zone,station_id,name,latitude,longitude,address,neighborhood,postal_code,capacity,bikes_available,bikes_unavailable,docks_available,docks_unavailable
Zapopan,293,(ZPN-053) Prol. Laureles / Av. Periférico G.,20.73836,-103.38299,(ZPN-053) Prol. Laureles / Av. Periférico G. Morín*,El Capullo,45150,31,24,1,6,0
Zapopan,294,(ZPN-054) Av. J. Parres Arias / C. Ignacio Ja,20.73441,-103.38079,(ZPN-054) Av. J. Parres Arias / C. Ignacio Jacob*,Industrial los Belenes,45157,31,29,1,1,0
Zapopan,295,(ZPN-055) Prol. Laureles / Av. J. Parres Aria,20.73154,-103.38515,(ZPN-055) Prol. Laureles / Av. J. Parres Arias*,Belenes U de G,45150,15,13,0,2,0
Zapopan,296,(ZPN-056) Av. Manuel A. Camacho / C. San Jorg,20.71365,-103.37742,(ZPN-056) Av. Manuel A. Camacho / C. San Jorge,Villa San Jorge,45160,15,13,1,1,0
Zapopan,91,(ZPN-001) Emilio Carranza /Carretera Tesistán,20.73244,-103.396083,(ZPN-001) C. Emilio Carranza / Carretera Tesistán *,San Isidro Ejidal,45147,15,4,0,11,0
Zapopan,92,(ZPN-002) C. Emilio Carranza /C. Independenci,20.726376,-103.397466,(ZPN-002) C. Emilio Carranza /C. Independencia *,San Isidro Ejidal,45147,11,6,0,5,0
Zapopan,93,(ZPN-003) C. Emilio Carranza / Av. Hidalgo,20.723081,-103.398071,(ZPN-003) C. Emilio Carranza / Av. Hidalgo *,Unidad República,45146,11,1,0,10,0
Zapopan,95,(ZPN-005) C. Del Corral / C. Anáhuac,20.730841,-103.394267,(ZPN-005) C. Del Corral / C. Anáhuac *,Obrera Centro,45140,11,4,1,6,0
Zapopan,96,(ZPN-006) C. Independencia / C. Anáhuac,20.725815,-103.395308,(ZPN-006) C. Independencia / C. Anáhuac *,Guadalajara Centro,45100,15,2,0,13,0
Zapopan,98,(ZPN-008) C. Vicente Guerrero / Av. Hidalgo,20.72201,-103.39427,(ZPN-008) C. Vicente Guerrero / Av. Hidalgo *,Guadalajara Centro,45100,19,2,0,17,0
Zapopan,100,(ZPN-010) C. Ramón Corona / C. Cuauhtémoc,20.723889,-103.394585,(ZPN-010) C. Ramón Corona / C. Cuauhtémoc *,Guadalajara Centro,45100,11,1,0,10,0
Zapopan,101,(ZPN-011) C. Pino Suárez / C. López Cotilla,20.726558,-103.389242,(ZPN-011) C. Pino Suárez / C. López Cotilla *,Guadalajara Centro,45100,11,1,0,10,0
Zapopan,102,(ZPN-012) C. Pino Suárez / Av. Juan Pablo II,20.728446,-103.39031,(ZPN-012) C. Pino Suárez / Av. Juan Pablo II *,Guadalajara Centro,45100,19,0,0,19,0
Zapopan,103,(ZPN-013) C. Eva Briseño / C. Javier Mina,20.720438,-103.391894,(ZPN-013) C. Eva Briseño / C. Javier Mina*,Guadalajara Centro,45100,15,0,1,14,0
Zapopan,104,(ZPN-014) C. Juan Manuel / Pino Suárez,20.724044,-103.390802,(ZPN-014) C. Juan Manuel / C. Pino Suárez *,Guadalajara Centro,45100,11,0,0,11,0
Zapopan,105,(ZPN-015) C. Sarcófago / C. Panteon,20.725261,-103.387365,(ZPN-015) C. Sarcófago / C. Panteón *,Guadalajara Centro,45100,11,0,0,11,0
